date,exchange,fromSymbol,toSymbol,close,high,low,open,volumefrom,volumeto
2019-07-21,ABCC,META,ETH,0.0001111,0.0001111,0.0001111,0.0001111,0,0
2019-07-21,ABCC,DPY,ETH,0.00083,0.00083,0.00083,0.00083,0,0
2019-07-21,ABCC,NPXS,BTC,1.5e-7,1.5e-7,1.5e-7,1.5e-7,0,0
2019-07-21,ACX,ETH,USDT,202.49,202.49,202.49,202.49,0,0
2019-07-21,ACX,FUEL,BTC,0.00000469,0.00000469,0.00000469,0.00000469,0,0
2019-07-21,ACX,HC,AUD,4.66,4.92,4.33,4.55,295184.84,1358897.12
2019-07-21,ACX,ETC,AUD,8.91,8.99,8.63,8.69,5481.47,48045.67
2019-07-21,ACX,EOS,AUD,6.145,8.452,5.904,6.121,6304.67,38293.08
2019-07-21,ACX,BTC,USDT,6889,6889,6889,6889,0,0
2019-07-21,ACX,UBTC,BTC,0.000005,0.000005,0.000005,0.000005,0,0
2019-07-21,ACX,XRP,AUD,0.4673,0.4793,0.4546,0.4766,70743,33079.22
2019-07-21,ACX,BCH,AUD,454.39,520,438.22,461.96,701.16,321619.34
2019-07-21,ACX,ETH,AUD,319.94,328.3,309.94,326.03,1326.88,424815.44
2019-07-21,ACX,DASH,BTC,0.000011,0.000011,0.000011,0.000011,0,0
2019-07-21,ACX,HSR,AUD,4.01,4.01,4.01,4.01,0,0
2019-07-21,ACX,LTC,AUD,142.52,173.44,136.65,141.65,1881.53,265258.35
2019-07-21,ACX,USDT,AUD,1.417,1.436,1.409,1.414,15025.29,21389.71
2019-07-21,ACX,BTC,AUD,15042.89,15428.93,14680.13,15277.25,413.53,6211267.86
2019-07-21,Abucoins,BTG,USD,43.62,43.62,43.62,43.62,0,0
2019-07-21,Abucoins,MTL,BTC,0.00028,0.00028,0.00028,0.00028,0,0
2019-07-21,Abucoins,BNB,BTC,0.0002,0.0002,0.0002,0.0002,0,0
2019-07-21,Abucoins,TNC,BTC,5.7e-7,5.7e-7,5.7e-7,5.7e-7,0,0
2019-07-21,Abucoins,BCH,USD,885.9,885.9,885.9,885.9,0,0
2019-07-21,Abucoins,BCH,EUR,2385,2385,2385,2385,0,0
2019-07-21,Abucoins,ETH,USD,917.87,917.87,917.87,917.87,0,0
2019-07-21,Abucoins,EOS,BTC,0.0014,0.0014,0.0014,0.0014,0,0
2019-07-21,Abucoins,BTG,EUR,200.07,200.07,200.07,200.07,0,0
2019-07-21,Abucoins,ETH,EUR,600,600,600,600,0,0
2019-07-21,Abucoins,BTG,PLN,249.61,249.61,249.61,249.61,0,0
2019-07-21,Abucoins,HSR,BTC,0.00055,0.00055,0.00055,0.00055,0,0
2019-07-21,Abucoins,LTC,BTC,0.02389,0.02389,0.02389,0.02389,0,0
2019-07-21,Abucoins,BCH,BTC,0.0855,0.0855,0.0855,0.0855,0,0
2019-07-21,Abucoins,BCH,PLN,5527,5527,5527,5527,0,0
2019-07-21,Abucoins,XRP,BTC,0.00005703,0.00005703,0.00005703,0.00005703,0,0
2019-07-21,Abucoins,ETH,BTC,0.065,0.065,0.065,0.065,0,0
2019-07-21,Abucoins,SC,BTC,0.00000171,0.00000171,0.00000171,0.00000171,0,0
2019-07-21,Abucoins,ETH,PLN,2500,2500,2500,2500,0,0
2019-07-21,Abucoins,BTG,BTC,0.003845,0.003845,0.003845,0.003845,0,0
2019-07-21,Abucoins,LSK,USD,0.01,0.01,0.01,0.01,0,0
2019-07-21,Abucoins,GAS,BTC,0.0028,0.0028,0.0028,0.0028,0,0
2019-07-21,Abucoins,LSK,EUR,0.01,0.01,0.01,0.01,0,0
2019-07-21,Abucoins,GNT,BTC,0.00006799,0.00006799,0.00006799,0.00006799,0,0
2019-07-21,Abucoins,LSK,PLN,29,29,29,29,0,0
2019-07-21,Abucoins,XLM,BTC,0.00000351,0.00000351,0.00000351,0.00000351,0,0
2019-07-21,Abucoins,LSK,BTC,0.00109,0.00109,0.00109,0.00109,0,0
2019-07-21,Abucoins,DOGE,BTC,5e-7,5e-7,5e-7,5e-7,0,0
2019-07-21,Abucoins,ZRX,BTC,0.00000813,0.00000813,0.00000813,0.00000813,0,0
2019-07-21,Abucoins,XMR,BTC,0.018,0.018,0.018,0.018,0,0
2019-07-21,Abucoins,NEO,BTC,0.001,0.001,0.001,0.001,0,0
2019-07-21,Abucoins,XEM,BTC,0.00002105,0.00002105,0.00002105,0.00002105,0,0
2019-07-21,Abucoins,BTMK,BTC,0.000104,0.000104,0.000104,0.000104,0,0
2019-07-21,Abucoins,BTC,PLN,29450,29450,29450,29450,0,0
2019-07-21,Abucoins,BTC,USD,8210.51,8210.51,8210.51,8210.51,0,0
2019-07-21,Abucoins,ARK,BTC,0.00027,0.00027,0.00027,0.00027,0,0
2019-07-21,Abucoins,ZEC,BTC,0.011,0.011,0.011,0.011,0,0
2019-07-21,Abucoins,BTC,EUR,5546.15,5546.15,5546.15,5546.15,0,0
2019-07-21,Abucoins,STRAT,BTC,0.0003891,0.0003891,0.0003891,0.0003891,0,0
2019-07-21,Abucoins,DASH,BTC,0.03,0.03,0.03,0.03,0,0
2019-07-21,Abucoins,VET,BTC,0.000004,0.000004,0.000004,0.000004,0,0
2019-07-21,Abucoins,SNT,BTC,0.000005,0.000005,0.000005,0.000005,0,0
2019-07-21,Abucoins,KNC,BTC,0.00000113,0.00000113,0.00000113,0.00000113,0,0
2019-07-21,Abucoins,ONT,BTC,0.0007401,0.0007401,0.0007401,0.0007401,0,0
2019-07-21,Abucoins,WAVES,BTC,0.0004708,0.0004708,0.0004708,0.0004708,0,0
2019-07-21,Abucoins,PIVX,BTC,0.000499,0.000499,0.000499,0.000499,0,0
2019-07-21,Abucoins,TRX,BTC,0.00000699,0.00000699,0.00000699,0.00000699,0,0
2019-07-21,Abucoins,ZPT,BTC,0.00000285,0.00000285,0.00000285,0.00000285,0,0
2019-07-21,Abucoins,DBC,BTC,0.00000117,0.00000117,0.00000117,0.00000117,0,0
2019-07-21,Abucoins,ADA,BTC,0.0000125,0.0000125,0.0000125,0.0000125,0,0
